@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{ "Driving", "Walking" , "Sitting" , "Standing", "Still" }

@data
0.17,0.24,0.17,0.24,0.21,0.22,0.20,0.18,0.20,0.23,0.14,0.17,0.21,0.25,0.24,0,9.92,0.68,3.73,3.6,3.73,10.84,Walking
0.22,0.18,0.23,0.18,0.22,0.15,0.22,0.24,0.20,0.20,0.21,0.23,0.18,0.20,0.21,0,10.05,0.17,3.8,3.07,3.8,10.95,Walking
0.18,0.21,0.23,0.20,0.21,0.27,0.19,0.17,0.19,0.21,0.18,0.22,0.27,0.18,0.18,0,9.86,0.16,3.65,3.48,3.65,10.69,Walking
0.21,0.19,0.19,0.25,0.20,0.19,0.16,0.26,0.22,0.19,0.24,0.21,0.17,0.19,0.22,0,10.04,0.1,3.82,3.25,3.82,11.01,Walking
0.21,0.23,0.20,0.18,0.21,0.20,0.24,0.21,0.17,0.20,0.21,0.21,0.19,0.22,0.18,0,9.89,0.13,3.76,3.41,3.76,10.79,Walking
0.10,0.07,0.08,0.06,0.07,0.07,0.05,0.07,0.12,0.08,0.12,0.06,0.07,0.06,0.06,0,3.74,-0.16,3.36,7.43,3.36,4.05,Walking
0.19,0.20,0.20,0.23,0.20,0.25,0.20,0.17,0.18,0.23,0.15,0.20,0.17,0.23,0.28,0,9.67,0.24,4.71,3.26,4.71,10.92,Walking
0.21,0.19,0.21,0.23,0.19,0.19,0.23,0.20,0.18,0.23,0.22,0.21,0.21,0.18,0.20,0,9.71,-0.37,4.65,3.05,4.65,10.92,Walking
0.19,0.16,0.23,0.24,0.21,0.21,0.20,0.21,0.21,0.18,0.19,0.21,0.21,0.24,0.17,0,9.74,-0.22,4.61,3.09,4.61,10.89,Walking
0.22,0.20,0.16,0.18,0.27,0.20,0.18,0.21,0.23,0.21,0.27,0.20,0.19,0.18,0.17,0,9.78,-0.36,4.72,2.94,4.72,11.1,Walking
0.19,0.22,0.19,0.19,0.24,0.16,0.21,0.23,0.23,0.19,0.24,0.20,0.18,0.22,0.19,0,9.84,-0.38,4.37,2.89,4.37,10.93,Walking
0.19,0.23,0.25,0.20,0.16,0.21,0.21,0.21,0.19,0.21,0.17,0.20,0.28,0.21,0.17,0,9.69,-0.32,4.37,3.26,4.37,10.68,Walking
0.06,0.03,0.03,0.02,0.00,0.01,0.03,0.04,0.03,0.02,0.01,0.00,0.00,0.04,0.09,0,1.17,0.2,2.45,8.88,2.45,1.24,Walking
0.28,0.21,0.16,0.18,0.19,0.13,0.18,0.23,0.24,0.24,0.14,0.22,0.21,0.21,0.24,0,9.25,0.98,6.14,3.38,6.14,11.35,Walking
0.17,0.24,0.19,0.22,0.21,0.21,0.16,0.19,0.26,0.19,0.21,0.21,0.21,0.20,0.18,0,8.82,0.42,6.61,3.45,6.61,11.14,Walking
0.19,0.22,0.21,0.18,0.22,0.17,0.22,0.20,0.24,0.18,0.27,0.20,0.18,0.21,0.16,0,8.77,0.32,6.59,3.35,6.59,11.09,Walking
0.20,0.16,0.22,0.21,0.23,0.23,0.25,0.21,0.16,0.17,0.17,0.20,0.26,0.20,0.19,0,8.23,0.75,6.9,3.66,6.9,10.97,Walking
0.16,0.20,0.23,0.23,0.20,0.23,0.23,0.17,0.18,0.22,0.24,0.19,0.15,0.22,0.23,0,8.55,0.61,6.66,3.61,6.66,11.13,Walking
0.15,0.14,0.14,0.14,0.11,0.15,0.11,0.15,0.11,0.17,0.13,0.13,0.11,0.14,0.16,0,5.74,0.53,6.06,4.64,6.06,7.15,Walking
0.17,0.20,0.26,0.19,0.20,0.18,0.20,0.26,0.22,0.16,0.19,0.19,0.29,0.22,0.15,0,10.04,0.32,2.69,4.4,2.69,11.16,Walking
0.20,0.15,0.24,0.29,0.15,0.18,0.22,0.21,0.23,0.20,0.16,0.28,0.22,0.20,0.18,0,10.2,0.35,2.59,4.5,2.59,11.3,Walking
0.16,0.20,0.24,0.27,0.16,0.20,0.18,0.25,0.22,0.19,0.13,0.27,0.25,0.18,0.20,0,10.01,0.38,2.52,4.47,2.52,11.16,Walking
0.18,0.21,0.23,0.24,0.17,0.18,0.23,0.19,0.24,0.18,0.14,0.24,0.25,0.21,0.18,0,10.19,0.62,2.5,4.29,2.5,11.28,Walking
0.20,0.21,0.19,0.20,0.22,0.20,0.21,0.20,0.19,0.23,0.22,0.19,0.23,0.18,0.21,0,10.19,0.18,2.72,4.73,2.72,11.41,Walking
0.25,0.22,0.16,0.14,0.26,0.21,0.18,0.24,0.18,0.21,0.22,0.22,0.19,0.23,0.17,0,10.11,0.18,3.12,4.83,3.12,11.52,Walking
0.20,0.21,0.18,0.24,0.19,0.24,0.17,0.20,0.23,0.19,0.25,0.18,0.20,0.22,0.17,0,10.14,0.23,2.89,4.79,2.89,11.47,Walking
0.24,0.17,0.17,0.23,0.22,0.23,0.18,0.19,0.19,0.23,0.25,0.17,0.19,0.21,0.20,0,10.11,0.24,2.9,5.09,2.9,11.59,Walking
0.20,0.25,0.22,0.16,0.20,0.20,0.21,0.17,0.24,0.21,0.19,0.23,0.21,0.18,0.21,0,10.14,0.48,2.8,4.78,2.8,11.52,Walking
0.19,0.21,0.20,0.21,0.21,0.17,0.24,0.22,0.20,0.20,0.21,0.19,0.22,0.18,0.22,0,10.17,0.42,2.69,4.52,2.69,11.4,Walking
0.22,0.22,0.18,0.18,0.22,0.23,0.16,0.19,0.24,0.19,0.23,0.20,0.18,0.23,0.19,0,9.95,0.27,2.99,4.99,2.99,11.38,Walking
0.21,0.17,0.19,0.21,0.24,0.22,0.17,0.22,0.16,0.24,0.26,0.17,0.18,0.21,0.20,0,10.19,0.13,2.93,5.07,2.93,11.56,Walking
0.23,0.18,0.21,0.21,0.19,0.19,0.26,0.19,0.17,0.21,0.19,0.21,0.24,0.22,0.17,0,10.15,0.43,2.67,4.69,2.67,11.38,Walking
0.24,0.18,0.18,0.22,0.22,0.22,0.23,0.18,0.19,0.21,0.20,0.22,0.22,0.20,0.18,0,10.09,0.37,2.78,4.79,2.78,11.35,Walking
0.21,0.24,0.17,0.19,0.20,0.22,0.22,0.20,0.17,0.21,0.20,0.18,0.23,0.22,0.20,0,10.02,0.45,2.8,4.67,2.8,11.3,Walking
0.19,0.22,0.19,0.22,0.20,0.19,0.22,0.23,0.18,0.21,0.18,0.21,0.28,0.18,0.18,0,10.11,0.28,2.69,4.63,2.69,11.25,Walking
0.20,0.19,0.20,0.22,0.22,0.21,0.21,0.18,0.19,0.23,0.23,0.19,0.23,0.18,0.21,0,10.21,0.33,2.68,5.01,2.68,11.49,Walking
0.18,0.23,0.19,0.18,0.24,0.19,0.21,0.20,0.21,0.21,0.22,0.24,0.14,0.22,0.21,0,10.16,0.3,2.73,4.82,2.73,11.51,Walking
0.21,0.23,0.17,0.18,0.25,0.21,0.20,0.18,0.21,0.22,0.20,0.23,0.18,0.21,0.19,0,10.18,0.25,2.84,4.81,2.84,11.49,Walking
0.22,0.22,0.18,0.16,0.24,0.24,0.20,0.17,0.19,0.21,0.19,0.22,0.19,0.20,0.21,0,9.98,0.42,2.84,4.98,2.84,11.34,Walking
0.22,0.19,0.20,0.15,0.27,0.21,0.22,0.23,0.16,0.20,0.21,0.21,0.18,0.21,0.22,0,10.17,0.32,2.83,4.84,2.83,11.53,Walking
0.21,0.24,0.13,0.23,0.22,0.18,0.23,0.19,0.21,0.20,0.24,0.19,0.15,0.22,0.23,0,10.24,0.38,2.98,4.77,2.98,11.58,Walking
0.23,0.22,0.17,0.21,0.19,0.23,0.20,0.17,0.21,0.22,0.22,0.19,0.18,0.20,0.24,0,10.1,0.7,2.81,4.88,2.81,11.46,Walking
0.21,0.18,0.23,0.20,0.19,0.17,0.23,0.23,0.23,0.16,0.18,0.23,0.17,0.20,0.24,0,10.13,0.65,2.71,4.58,2.71,11.49,Walking
0.16,0.20,0.25,0.23,0.17,0.19,0.20,0.20,0.24,0.20,0.22,0.19,0.19,0.21,0.23,0,10.14,0.49,2.6,4.67,2.6,11.42,Walking
0.19,0.21,0.21,0.23,0.18,0.21,0.18,0.19,0.22,0.22,0.21,0.18,0.18,0.24,0.21,0,10.24,0.55,2.69,4.69,2.69,11.51,Walking
0.20,0.20,0.25,0.17,0.19,0.22,0.18,0.22,0.19,0.21,0.20,0.19,0.19,0.23,0.22,0,10.05,0.69,2.72,4.66,2.72,11.3,Walking
0.21,0.22,0.20,0.18,0.21,0.22,0.19,0.19,0.21,0.21,0.21,0.20,0.22,0.15,0.25,0,10.16,0.61,2.8,4.79,2.8,11.54,Walking
0.18,0.19,0.22,0.21,0.21,0.19,0.21,0.21,0.23,0.18,0.19,0.18,0.21,0.19,0.25,0,10.17,0.71,2.74,4.77,2.74,11.51,Walking
0.21,0.18,0.24,0.20,0.20,0.18,0.22,0.22,0.19,0.21,0.18,0.22,0.18,0.22,0.23,0,10.21,0.58,2.72,4.64,2.72,11.49,Walking
0.17,0.19,0.26,0.23,0.17,0.22,0.20,0.21,0.20,0.20,0.17,0.23,0.17,0.24,0.22,0,9.95,0.55,2.6,4.57,2.6,11.21,Walking
0.06,0.08,0.10,0.09,0.08,0.06,0.09,0.10,0.09,0.07,0.05,0.07,0.09,0.10,0.10,0,3.94,0.36,2.47,7.52,2.47,4.37,Walking
0.17,0.19,0.25,0.19,0.21,0.18,0.25,0.23,0.18,0.05,0.19,0.23,0.18,0.24,0.19,0,7.4,0.84,5.34,8.61,5.34,13.66,Walking
0.20,0.25,0.18,0.15,0.22,0.18,0.24,0.21,0.20,0.08,0.22,0.24,0.14,0.19,0.23,0,7.47,0.57,5.68,8.85,5.68,14.25,Walking
0.15,0.26,0.19,0.22,0.21,0.21,0.23,0.21,0.20,0.09,0.23,0.21,0.22,0.19,0.17,0,7.02,0.32,5.1,8.88,5.1,13.76,Walking
0.20,0.25,0.20,0.20,0.18,0.19,0.23,0.20,0.18,0.09,0.19,0.25,0.21,0.18,0.20,0,7.94,0.52,5.15,9.01,5.15,14,Walking
0.19,0.23,0.21,0.19,0.20,0.18,0.20,0.20,0.22,0.09,0.21,0.20,0.19,0.24,0.18,0,7.88,0.57,5.29,9.24,5.29,14.4,Walking
0.16,0.22,0.22,0.22,0.19,0.22,0.18,0.21,0.19,0.09,0.23,0.20,0.19,0.21,0.20,0,7.68,0.62,4.91,9.33,4.91,14.44,Walking
0.19,0.26,0.20,0.25,0.12,0.23,0.17,0.23,0.19,0.08,0.22,0.23,0.22,0.17,0.19,0,7.55,0.41,4.83,9.08,4.83,13.97,Walking
0.17,0.22,0.20,0.25,0.19,0.19,0.21,0.22,0.21,0.05,0.21,0.21,0.22,0.15,0.24,0,7.67,0.88,4.86,9.01,4.86,14.13,Walking
0.19,0.22,0.21,0.21,0.20,0.21,0.19,0.23,0.19,0.07,0.19,0.18,0.24,0.20,0.21,0,7.58,1.03,5.14,8.66,5.14,13.86,Walking
0.26,0.16,0.22,0.18,0.20,0.23,0.19,0.23,0.18,0.06,0.18,0.23,0.24,0.15,0.22,0,7.54,1.19,5.6,8.82,5.6,14.2,Walking
0.25,0.17,0.20,0.22,0.19,0.22,0.18,0.20,0.22,0.08,0.23,0.15,0.21,0.21,0.22,0,7.69,0.95,5.48,9.13,5.48,14.78,Walking
0.24,0.14,0.22,0.23,0.20,0.21,0.21,0.15,0.23,0.09,0.20,0.15,0.23,0.19,0.25,0,7.79,1.66,5.51,9.34,5.51,14.69,Walking
0.19,0.19,0.19,0.20,0.26,0.18,0.22,0.16,0.25,0.10,0.18,0.17,0.26,0.20,0.20,0,7.81,1.48,5.46,8.89,5.46,14.13,Walking
0.18,0.23,0.24,0.17,0.20,0.20,0.17,0.25,0.17,0.10,0.16,0.24,0.21,0.19,0.23,0,8.04,1.54,5.56,9.12,5.56,14.42,Walking
0.24,0.20,0.15,0.23,0.20,0.22,0.15,0.22,0.21,0.07,0.22,0.20,0.17,0.19,0.23,0,7.88,0.64,5.49,9.38,5.49,15.09,Walking
0.24,0.17,0.20,0.21,0.20,0.22,0.19,0.20,0.23,0.08,0.21,0.25,0.16,0.19,0.22,0,7.01,0.39,5.48,9.2,5.48,14.34,Walking
0.20,0.28,0.17,0.16,0.21,0.17,0.26,0.23,0.20,0.05,0.23,0.20,0.17,0.22,0.20,0,7.08,0.56,5.56,8.75,5.56,14.09,Walking
0.22,0.20,0.20,0.19,0.20,0.23,0.22,0.17,0.24,0.06,0.23,0.20,0.22,0.17,0.21,0,7,0.64,5.46,9.01,5.46,14.06,Walking
0.20,0.17,0.22,0.23,0.19,0.23,0.18,0.18,0.22,0.09,0.22,0.18,0.23,0.19,0.20,0,7.81,0.86,5.06,9.48,5.06,14.62,Walking
0.25,0.21,0.15,0.19,0.23,0.17,0.29,0.21,0.16,0.06,0.17,0.21,0.17,0.28,0.19,0,7.35,1.39,5.72,8.45,5.72,13.68,Walking
0.22,0.17,0.22,0.22,0.19,0.20,0.22,0.17,0.22,0.09,0.19,0.19,0.17,0.26,0.22,0,7.98,1.41,5.46,8.96,5.46,14.62,Walking
0.25,0.17,0.18,0.23,0.18,0.20,0.19,0.23,0.17,0.08,0.24,0.15,0.24,0.23,0.16,0,7.75,0.72,5.4,9.3,5.4,14.54,Walking
0.21,0.22,0.18,0.17,0.25,0.22,0.17,0.19,0.24,0.07,0.21,0.16,0.23,0.26,0.18,0,8.16,1.09,5.55,8.9,5.55,14.4,Walking
0.22,0.18,0.20,0.18,0.25,0.23,0.20,0.18,0.21,0.07,0.25,0.15,0.22,0.19,0.22,0,7.21,0.55,5.67,9.42,5.67,14.74,Walking
0.22,0.14,0.20,0.19,0.27,0.19,0.18,0.22,0.18,0.10,0.17,0.23,0.14,0.23,0.26,0,8.18,1.88,5.64,9.06,5.64,14.87,Walking
0.20,0.19,0.24,0.18,0.21,0.22,0.20,0.17,0.20,0.06,0.23,0.16,0.18,0.24,0.20,0,7.68,0.9,5.94,9.44,5.94,14.75,Walking
0.15,0.24,0.18,0.26,0.18,0.22,0.19,0.22,0.21,0.07,0.17,0.26,0.24,0.15,0.20,0,7.36,0.79,4.92,9.12,4.92,13.64,Walking
0.03,0.06,0.07,0.11,0.04,0.01,0.06,0.11,0.09,0.02,0.02,0.14,0.09,0.05,0.01,0,2.72,0.11,3.94,9.22,3.94,3.38,Walking
0.29,0.22,0.27,0.15,0.10,0.25,0.17,0.18,0.25,0.19,0.21,0.17,0.27,0.19,0.19,0,9.9,0.84,3.01,4.86,3.01,11.37,Walking
0.30,0.27,0.21,0.13,0.12,0.24,0.17,0.22,0.20,0.20,0.19,0.26,0.20,0.19,0.20,0,9.99,0.78,3.24,5.05,3.24,11.54,Walking
0.25,0.24,0.20,0.18,0.16,0.20,0.23,0.18,0.20,0.21,0.19,0.16,0.30,0.18,0.19,0,9.91,0.82,3.07,4.92,3.07,11.34,Walking
0.28,0.19,0.25,0.15,0.16,0.23,0.18,0.19,0.13,0.28,0.21,0.21,0.23,0.14,0.25,0,9.99,0.85,3.36,5.26,3.36,11.71,Walking
0.28,0.20,0.17,0.20,0.19,0.23,0.17,0.17,0.21,0.24,0.23,0.18,0.19,0.23,0.19,0,10.02,0.65,3.28,5.35,3.28,11.75,Walking
0.30,0.19,0.15,0.21,0.19,0.23,0.18,0.19,0.18,0.25,0.27,0.17,0.13,0.23,0.22,0,10.02,0.72,3.3,5.2,3.3,11.75,Walking
0.28,0.18,0.15,0.21,0.20,0.21,0.19,0.20,0.21,0.21,0.24,0.19,0.18,0.18,0.23,0,10.08,0.82,3.03,5.06,3.03,11.74,Walking
0.16,0.18,0.20,0.24,0.26,0.22,0.21,0.18,0.21,0.19,0.18,0.24,0.23,0.19,0.19,0,9.85,0.8,2.59,5.05,2.59,11.25,Walking
0.19,0.16,0.24,0.25,0.18,0.18,0.24,0.19,0.21,0.21,0.18,0.25,0.18,0.25,0.15,0,9.98,0.71,2.65,4.97,2.65,11.4,Walking
0.19,0.17,0.19,0.23,0.26,0.19,0.19,0.23,0.22,0.19,0.19,0.22,0.19,0.20,0.23,0,10.18,0.79,2.71,4.85,2.71,11.55,Walking
0.15,0.21,0.23,0.25,0.19,0.19,0.20,0.25,0.19,0.19,0.21,0.19,0.20,0.18,0.24,0,9.91,0.87,2.5,4.68,2.5,11.31,Walking
0.19,0.20,0.20,0.20,0.24,0.18,0.22,0.22,0.21,0.20,0.22,0.20,0.18,0.23,0.19,0,10.05,0.65,2.6,4.74,2.6,11.47,Walking
0.21,0.19,0.19,0.20,0.23,0.17,0.21,0.17,0.24,0.22,0.21,0.20,0.17,0.25,0.21,0,10.33,0.87,2.69,4.81,2.69,11.73,Walking
0.16,0.17,0.30,0.15,0.24,0.21,0.22,0.20,0.20,0.20,0.24,0.17,0.19,0.22,0.21,0,9.86,0.75,2.56,4.98,2.56,11.33,Walking
0.20,0.16,0.25,0.20,0.20,0.22,0.18,0.22,0.23,0.18,0.23,0.15,0.21,0.21,0.22,0,10.01,0.9,2.85,4.77,2.85,11.56,Walking
0.14,0.20,0.24,0.30,0.15,0.16,0.24,0.23,0.22,0.18,0.20,0.20,0.22,0.20,0.22,0,10.12,0.8,2.31,4.55,2.31,11.39,Walking
0.17,0.21,0.22,0.26,0.17,0.19,0.18,0.24,0.24,0.18,0.16,0.21,0.26,0.21,0.19,0,10.01,0.91,2.52,4.65,2.52,11.31,Walking
0.19,0.20,0.25,0.16,0.21,0.20,0.21,0.19,0.22,0.20,0.18,0.20,0.25,0.21,0.18,0,10.01,0.79,2.46,4.61,2.46,11.21,Walking
0.15,0.22,0.23,0.25,0.18,0.18,0.22,0.23,0.20,0.18,0.12,0.23,0.26,0.21,0.20,0,10.02,0.99,2.41,4.59,2.41,11.1,Walking
0.15,0.23,0.23,0.23,0.19,0.22,0.24,0.16,0.21,0.21,0.19,0.22,0.20,0.19,0.22,0,9.92,0.92,2.42,5.04,2.42,11.22,Walking
0.16,0.18,0.21,0.23,0.25,0.19,0.23,0.22,0.19,0.19,0.22,0.20,0.21,0.21,0.19,0,9.97,0.63,2.56,4.81,2.56,11.28,Walking
0.22,0.21,0.14,0.19,0.26,0.20,0.22,0.19,0.18,0.23,0.23,0.20,0.17,0.20,0.22,0,10.12,0.72,2.91,5.14,2.91,11.64,Walking
0.17,0.28,0.17,0.17,0.24,0.20,0.22,0.22,0.17,0.21,0.20,0.20,0.20,0.19,0.23,0,9.93,0.94,2.79,4.89,2.79,11.42,Walking
0.21,0.20,0.17,0.21,0.24,0.20,0.19,0.22,0.19,0.22,0.19,0.23,0.16,0.27,0.17,0,10.09,0.77,2.76,4.88,2.76,11.47,Walking
0.18,0.20,0.20,0.21,0.22,0.19,0.19,0.24,0.19,0.21,0.20,0.22,0.21,0.19,0.22,0,10.08,0.78,2.75,4.81,2.75,11.44,Walking
0.24,0.17,0.23,0.14,0.23,0.22,0.17,0.22,0.21,0.22,0.20,0.19,0.16,0.21,0.27,0,10.2,1.1,2.88,5.03,2.88,11.75,Walking
0.20,0.22,0.20,0.21,0.20,0.20,0.20,0.21,0.16,0.24,0.22,0.21,0.16,0.21,0.22,0,10.12,0.7,2.83,4.96,2.83,11.54,Walking
0.19,0.22,0.15,0.21,0.24,0.19,0.22,0.20,0.22,0.19,0.20,0.23,0.20,0.19,0.20,0,10.1,0.64,2.82,4.94,2.82,11.47,Walking
0.19,0.23,0.18,0.20,0.22,0.22,0.20,0.19,0.20,0.21,0.21,0.24,0.17,0.23,0.18,0,10.01,0.6,2.69,4.99,2.69,11.35,Walking
0.18,0.22,0.22,0.19,0.21,0.19,0.21,0.25,0.18,0.20,0.18,0.21,0.22,0.21,0.19,0,10.04,0.84,2.8,4.75,2.8,11.38,Walking
0.20,0.19,0.20,0.20,0.23,0.19,0.22,0.19,0.21,0.20,0.16,0.22,0.22,0.22,0.20,0,10.11,0.73,2.77,4.72,2.77,11.42,Walking
0.18,0.21,0.18,0.20,0.25,0.20,0.17,0.24,0.18,0.23,0.21,0.21,0.19,0.23,0.21,0,10.12,0.8,2.69,4.82,2.69,11.37,Walking
0.13,0.20,0.23,0.21,0.14,0.18,0.17,0.22,0.19,0.14,0.15,0.20,0.22,0.17,0.16,0,8.78,0.66,2.5,4.68,2.5,9.79,Walking
0.19,0.20,0.21,0.21,0.21,0.27,0.11,0.25,0.22,0.10,0.24,0.21,0.20,0.14,0.21,0,7.08,0.15,5.48,9.24,5.48,14.52,Walking
0.21,0.16,0.23,0.27,0.16,0.22,0.15,0.23,0.20,0.13,0.16,0.24,0.24,0.15,0.24,0,7.87,1.28,5.25,9,5.25,14.45,Walking
0.20,0.17,0.27,0.18,0.21,0.23,0.19,0.19,0.19,0.13,0.22,0.21,0.14,0.21,0.24,0,7.63,0.84,5.38,9.58,5.38,15.01,Walking
0.21,0.22,0.17,0.25,0.18,0.16,0.21,0.22,0.21,0.11,0.20,0.19,0.16,0.22,0.26,0,8.24,1.57,5.21,8.93,5.21,14.73,Walking
0.22,0.19,0.24,0.23,0.14,0.24,0.22,0.18,0.17,0.12,0.23,0.19,0.20,0.23,0.17,0,6.81,0.07,4.99,9.68,4.99,14,Walking
0.22,0.14,0.28,0.20,0.18,0.28,0.13,0.19,0.19,0.14,0.28,0.18,0.20,0.17,0.19,0,6.76,-0.63,5.03,10.14,5.03,14.93,Walking
0.25,0.13,0.22,0.17,0.25,0.27,0.14,0.19,0.20,0.13,0.22,0.22,0.18,0.20,0.21,0,7.06,0.8,5.32,9.52,5.32,14.26,Walking
0.22,0.19,0.29,0.15,0.17,0.22,0.20,0.18,0.22,0.11,0.24,0.17,0.21,0.20,0.21,0,7.27,0.48,5.12,9.44,5.12,14.28,Walking
0.24,0.16,0.27,0.21,0.16,0.21,0.22,0.19,0.18,0.12,0.19,0.23,0.23,0.14,0.23,0,7.65,0.58,4.89,9.38,4.89,14.31,Walking
0.18,0.18,0.21,0.20,0.25,0.20,0.23,0.17,0.23,0.07,0.22,0.18,0.16,0.25,0.20,0,7.62,0.92,5.46,9.3,5.46,14.58,Walking
0.20,0.18,0.26,0.15,0.21,0.22,0.23,0.18,0.18,0.11,0.25,0.21,0.13,0.23,0.20,0,6.77,-0.1,5.77,9.66,5.77,14.78,Walking
0.19,0.21,0.24,0.17,0.20,0.21,0.25,0.20,0.18,0.10,0.26,0.21,0.19,0.18,0.19,0,6.77,-0.41,5.39,9.6,5.39,14.32,Walking
0.19,0.24,0.21,0.20,0.19,0.22,0.20,0.17,0.26,0.10,0.21,0.15,0.27,0.17,0.22,0,7.35,0.76,5.21,9.54,5.21,14.48,Walking
0.17,0.24,0.16,0.25,0.20,0.21,0.22,0.21,0.18,0.10,0.20,0.20,0.19,0.25,0.20,0,7.35,1.02,5.32,9.1,5.32,14.15,Walking
0.21,0.20,0.19,0.20,0.22,0.21,0.18,0.21,0.19,0.08,0.21,0.21,0.22,0.19,0.20,0,7.32,0.27,5.41,9.78,5.41,14.83,Walking
0.19,0.25,0.13,0.22,0.23,0.24,0.14,0.24,0.22,0.10,0.23,0.18,0.21,0.19,0.21,0,7.64,0.3,5.42,9.4,5.42,14.81,Walking
0.26,0.23,0.15,0.18,0.20,0.15,0.25,0.22,0.16,0.10,0.16,0.21,0.23,0.21,0.21,0,8.24,1.56,5.47,8.79,5.47,14.18,Walking
0.19,0.22,0.17,0.28,0.17,0.17,0.26,0.18,0.19,0.09,0.18,0.23,0.21,0.26,0.16,0,7.8,0.81,5.22,9.01,5.22,13.84,Walking
0.18,0.24,0.18,0.17,0.26,0.17,0.27,0.17,0.23,0.07,0.18,0.17,0.16,0.30,0.21,0,7.69,1.46,5.94,8.85,5.94,14.46,Walking
0.24,0.23,0.14,0.20,0.21,0.22,0.18,0.17,0.25,0.08,0.20,0.18,0.18,0.22,0.23,0,7.73,1.27,5.29,9.55,5.29,14.61,Walking
0.22,0.26,0.18,0.16,0.22,0.19,0.23,0.25,0.18,0.10,0.23,0.20,0.21,0.20,0.20,0,7.07,0.31,5.15,8.76,5.15,13.77,Walking
0.18,0.19,0.22,0.20,0.24,0.16,0.23,0.20,0.23,0.04,0.18,0.22,0.19,0.20,0.24,0,8.32,1.52,5.56,8.57,5.56,14.46,Walking
0.18,0.24,0.17,0.24,0.20,0.19,0.25,0.19,0.19,0.08,0.20,0.20,0.28,0.13,0.21,0,7.5,0.62,4.98,9.02,4.98,13.71,Walking
0.26,0.18,0.20,0.20,0.19,0.24,0.24,0.15,0.21,0.09,0.20,0.19,0.18,0.25,0.20,0,6.74,0.54,5.27,9.29,5.27,13.87,Walking
0.23,0.19,0.17,0.20,0.24,0.17,0.23,0.20,0.22,0.11,0.17,0.25,0.15,0.17,0.28,0,7.76,1.19,4.98,9.24,4.98,14.42,Walking
0.19,0.28,0.06,0.23,0.27,0.23,0.18,0.21,0.17,0.10,0.21,0.20,0.20,0.22,0.20,0,7.48,0.95,5.6,9.61,5.6,14.68,Walking
0.20,0.21,0.13,0.20,0.29,0.16,0.21,0.26,0.16,0.06,0.17,0.15,0.24,0.30,0.18,0,8.29,1.79,5.89,8.55,5.89,14.17,Walking
0.18,0.22,0.17,0.26,0.18,0.17,0.25,0.18,0.27,0.07,0.17,0.24,0.25,0.21,0.15,0,7.36,0.69,5.03,8.73,5.03,13.35,Walking
0.02,0.08,0.25,0.09,0.02,0.01,0.02,0.28,0.13,0.02,0.00,0.21,0.18,0.05,0.02,0,4.56,0.24,2.61,6.94,2.61,5.03,Walking
0.22,0.13,0.14,0.17,0.36,0.23,0.20,0.20,0.14,0.24,0.26,0.16,0.12,0.22,0.26,0,9.52,1.69,2.83,5.06,2.83,10.74,Walking
0.23,0.22,0.20,0.19,0.19,0.21,0.23,0.15,0.18,0.26,0.23,0.19,0.19,0.23,0.18,0,9.59,1.6,2.09,4.37,2.09,10.34,Walking
0.23,0.19,0.21,0.25,0.14,0.22,0.21,0.16,0.22,0.21,0.17,0.18,0.20,0.27,0.19,0,9.48,1.74,2.1,4.34,2.1,10.18,Walking
0.19,0.22,0.27,0.19,0.15,0.18,0.17,0.24,0.28,0.15,0.17,0.22,0.26,0.19,0.19,0,9.68,1.65,1.92,3.69,1.92,10.28,Walking
0.15,0.24,0.23,0.20,0.20,0.20,0.19,0.24,0.21,0.20,0.23,0.23,0.23,0.13,0.20,0,9.68,1.52,1.85,3.91,1.85,10.3,Walking
0.20,0.20,0.24,0.21,0.18,0.19,0.21,0.20,0.25,0.18,0.16,0.24,0.22,0.20,0.20,0,9.55,1.71,1.84,3.9,1.84,10.24,Walking
0.03,0.02,0.01,0.01,0.07,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.04,0.06,0,1.13,0.36,2.43,9.38,2.43,1.24,Walking
0.20,0.15,0.23,0.22,0.23,0.22,0.19,0.15,0.24,0.21,0.18,0.18,0.17,0.25,0.23,0,9.51,1.86,3.1,4,3.1,10.36,Walking
0.21,0.24,0.20,0.19,0.20,0.23,0.22,0.18,0.14,0.25,0.17,0.20,0.22,0.20,0.22,0,9.49,1.76,3.28,3.82,3.28,10.4,Walking
0.31,0.19,0.16,0.20,0.17,0.25,0.18,0.19,0.20,0.21,0.19,0.22,0.23,0.17,0.21,0,9.41,1.56,3.68,3.89,3.68,10.44,Walking
